suburb,sa4_area,crime_type,year,incident_count
Newtown,N/A,Theft,2024-2025,8.333333333333334
Newtown,N/A,Arson,2024-2025,0.25
Newtown,N/A,Malicious damage to property,2024-2025,12.125
Newtown,N/A,Drug offences,2024-2025,0.5416666666666666
Newtown,N/A,Drug offences,2024-2025,0.375
Newtown,N/A,Drug offences,2024-2025,3.4166666666666665
Newtown,N/A,Drug offences,2024-2025,2.375
Newtown,N/A,Drug offences,2024-2025,0.08333333333333333
Newtown,N/A,Drug offences,2024-2025,2.1666666666666665
Newtown,N/A,Drug offences,2024-2025,0.08333333333333333
Newtown,N/A,Drug offences,2024-2025,0.0
Newtown,N/A,Drug offences,2024-2025,0.08333333333333333
Newtown,N/A,Drug offences,2024-2025,0.16666666666666666
Newtown,N/A,Drug offences,2024-2025,0.0
Newtown,N/A,Drug offences,2024-2025,0.125
Newtown,N/A,Drug offences,2024-2025,0.0
Newtown,N/A,Drug offences,2024-2025,0.0
Newtown,N/A,Drug offences,2024-2025,0.0
Newtown,N/A,Drug offences,2024-2025,0.9166666666666666
Newtown,N/A,Prohibited and regulated weapons offences,2024-2025,2.3333333333333335
Newtown,N/A,Disorderly conduct,2024-2025,2.3333333333333335
Newtown,N/A,Disorderly conduct,2024-2025,2.1666666666666665
Newtown,N/A,Disorderly conduct,2024-2025,0.375
Newtown,N/A,Disorderly conduct,2024-2025,0.9583333333333334
Newtown,N/A,Betting and gaming offences,2024-2025,0.0
Newtown,N/A,Liquor offences,2024-2025,13.041666666666666
Newtown,N/A,Pornography offences,2024-2025,0.041666666666666664
Newtown,N/A,Against justice procedures,2024-2025,0.041666666666666664
Newtown,N/A,Against justice procedures,2024-2025,4.708333333333333
Newtown,N/A,Against justice procedures,2024-2025,32.0
Newtown,N/A,Against justice procedures,2024-2025,0.16666666666666666
Newtown,N/A,Against justice procedures,2024-2025,1.75
Newtown,N/A,Against justice procedures,2024-2025,0.5
Newtown,N/A,Transport regulatory offences,2024-2025,15.416666666666666
Newtown,N/A,Other offences,2024-2025,2.125
Redfern,N/A,Homicide,2024-2025,0.08333333333333333
Redfern,N/A,Homicide,2024-2025,0.0
Redfern,N/A,Homicide,2024-2025,0.0
Redfern,N/A,Homicide,2024-2025,0.0
