suburb,osm_score,cafe,restaurant,gym,school,hospital,pharmacy,library,park,playground,sports_centre
Pleasure Point,0.0076,0,0,0,0,0,0,0,4,2,0
Plumpton,0.0567,1,0,0,9,0,1,0,25,14,0
Point Clare,0.0145,0,1,0,0,0,2,0,6,5,0
Point Frederick,0.0142,1,0,0,1,0,0,0,7,2,0
Point Piper,0.0069,1,1,0,1,0,0,0,2,1,0
Port Botany,0.0032,0,0,0,0,0,0,0,2,0,0
Port Hacking,0.0137,3,2,0,0,0,0,0,5,0,0
Potts Hill,0.0135,0,0,0,2,0,0,0,6,3,1
Potts Point,0.1458,45,57,0,1,1,6,1,11,4,2
Prairiewood,0.046,2,1,0,3,2,3,1,21,7,1
Prestons,0.1184,3,9,3,12,0,1,3,46,25,4
Pretty Beach,0.003,0,0,0,1,0,0,0,1,1,0
Prospect,0.0622,10,1,0,1,0,0,0,22,19,4
Punchbowl,0.0679,3,5,1,6,0,2,0,27,13,2
Putney,0.0592,2,7,0,3,3,1,0,22,14,1
Pymble,0.1482,24,27,3,8,1,5,2,40,19,2
Pyrmont,0.0898,0,37,0,0,0,2,0,27,0,0
Quakers Hill,0.124,0,4,0,10,0,2,1,54,40,0
Queens Park,0.0176,3,3,1,4,1,0,0,3,2,0
Queenscliff,0.0285,5,1,0,2,0,0,0,10,5,2
Raby,0.0383,0,0,0,5,0,0,0,21,2,0
Ramsgate,0.0184,2,2,1,1,0,0,0,6,3,1
Ramsgate Beach,0.0219,4,2,0,1,0,0,0,7,4,1
Randwick,0.3123,52,93,6,20,6,14,5,60,20,2
Redfern,0.1896,48,56,0,2,1,5,1,34,13,1
Regents Park,0.0309,0,0,0,7,0,0,1,12,8,2
Regentville,0.0172,4,5,0,1,0,1,0,3,1,0
Revesby,0.0896,4,5,1,13,1,5,1,32,22,2
Revesby Heights,0.0104,1,0,0,1,0,0,0,5,1,0
Rhodes,0.066,13,21,1,0,1,2,1,11,9,0
Richards,0.0046,0,0,0,1,0,0,0,2,0,1
Riverstone,0.025,1,0,0,7,0,0,1,10,2,2
Riverview,0.0142,0,0,0,2,0,0,0,6,5,0
Riverwood,0.0643,2,9,0,5,0,2,1,24,11,2
Rockdale,0.1104,18,18,2,11,0,10,2,29,13,0
Rodd Point,0.0109,1,0,0,0,0,0,0,5,3,0
Rookwood,0.0137,2,0,0,1,0,0,0,6,2,0
Rooty Hill,0.0966,4,3,1,9,2,2,0,38,26,4
Ropes Crossing,0.0403,0,0,0,2,0,0,0,19,14,0
Rose Bay,0.0816,9,18,3,13,0,3,0,19,7,1
Rosebery,0.094,21,13,0,2,0,2,0,26,14,4
Rosehill,0.041,4,3,0,3,0,0,1,16,5,3
Roselands,0.038,0,3,0,3,0,0,0,15,11,2
Rosemeadow,0.0439,0,0,0,5,0,0,0,23,6,0
Roseville,0.1093,15,15,6,6,1,4,2,33,13,2
Roseville Chase,0.0239,1,3,1,1,0,1,0,8,6,1
Rossmore,0.0044,0,1,0,2,0,0,0,1,0,0
Rouse Hill,0.1172,8,15,3,7,0,1,1,42,23,0
Royal National Park,0.3996,57,50,9,37,1,14,6,117,66,7
Rozelle,0.1016,15,10,1,5,1,2,0,37,13,0
Ruse,0.0265,0,0,0,2,0,0,0,13,7,0
Rushcutters Bay,0.0324,11,13,0,0,1,3,0,0,2,2
Russell Lea,0.0161,1,4,0,1,0,0,0,5,2,0
Rydalmere,0.0586,7,1,0,3,0,0,2,25,9,3
Ryde,0.2106,15,23,5,21,2,7,3,71,40,5
Sackville,0.0024,0,0,0,1,0,0,0,1,0,0
Sackville North,0.0024,0,0,0,1,0,0,0,1,0,0
Sadleir,0.0203,0,1,0,3,0,0,0,9,4,0
Sandringham,0.0153,2,1,0,1,0,1,0,6,2,0
Sandy Point,0.0082,0,0,0,0,0,0,0,4,3,0
Sans Souci,0.0977,10,6,1,5,0,1,1,40,16,1
Saratoga,0.0074,0,0,0,1,0,0,0,3,3,0
Scheyville,0.0038,0,0,0,0,0,0,0,2,1,0
Schofields,0.0416,2,2,0,8,0,2,0,15,10,0
Scotland Island,0.0132,0,0,0,0,0,0,0,8,1,0
Seaforth,0.0455,4,6,0,4,0,1,1,15,9,1
Sefton,0.0239,0,0,0,4,0,0,0,10,7,1
Seven Hills,0.1794,1,7,3,18,1,3,1,71,61,1
Shalvey,0.0343,0,0,0,4,0,0,0,15,11,1
